appid,name,positive_ratings
42700,"Call of DutyÂ®: Black Ops",14201
247080,"Crypt of the NecroDancer",14162
110800,"L.A. Noire",14096
253230,"A Hat in Time",14019
235540,"Warhammer: End Times - Vermintide",13905
420,"Half-Life 2: Episode Two",13902
241600,"Rogue Legacy",13854
22330,"The Elder Scrolls IV: OblivionÂ® Game of the Year Edition",13827
105450,"Age of EmpiresÂ® III: Complete Collection",13759
235460,"METAL GEAR RISING: REVENGEANCE",13722
209650,"Call of DutyÂ®: Advanced Warfare - Gold Edition",13389
201790,"Orcs Must Die! 2",13321
238010,"Deus Ex: Human Revolution - Director's Cut",13044
250400,"How to Survive",12965
209080,"Guns of Icarus Online",12932
225260,"Brutal Legend",12816
238090,"Sniper Elite 3",12737
259080,"Just Cause 2: Multiplayer Mod",12261
219890,Antichamber,12232
70000,"Dino D-Day",12222
225840,"Sven Co-op",12211
80,"Counter-Strike: Condition Zero",12120
67370,"The Darkness II",11992
44350,"GRID 2",11953
232430,"Gone Home",11893
39140,"FINAL FANTASY VII",11722
47890,"The Simsâ„¢ 3",11679
210770,"Sanctum 2",11629
32370,"STAR WARSâ„¢ - Knights of the Old Republicâ„¢",11569
253710,"theHunter Classic",11440
47870,"Need For Speed: Hot Pursuit",11405
244450,"Men of War: Assault Squad 2",11389
233720,"Surgeon Simulator",11387
254700,"resident evil 4 / biohazard 4",11260
248570,Toribash,11143
4500,"S.T.A.L.K.E.R.: Shadow of Chernobyl",11039
257850,"Hyper Light Drifter",11027
240720,"Getting Over It with Bennett Foddy",10964
236110,"Dungeon Defenders II",10766
65800,"Dungeon Defenders",10693
24980,"Mass Effect 2",10675
224760,FEZ,10641
300,"Day of Defeat: Source",10489
239160,Thief,10486
34900,"Bad Rats: the Rats' Revenge",10465
206190,Gunpoint,10384
4700,"Total War: MEDIEVAL II â€“ Definitive Edition",10270
41700,"S.T.A.L.K.E.R.: Call of Pripyat",10172
24200,"DC Universeâ„¢ Online",10138
17460,"Mass Effect",10107
235600,"Tom Clancyâ€™s Splinter Cell Blacklist",10016
256290,"Child of Light",9980
22300,"Fallout 3",9921
39000,"Moonbase Alpha",9867
55150,"Warhammer 40,000: Space Marine",9847
12110,"Grand Theft Auto: Vice City",9817
39210,"FINAL FANTASY XIV Online",9808
237990,"The Banner Saga",9750
24740,"Burnout Paradise: The Ultimate Box",9739
242680,"Nuclear Throne",9694
22320,"The Elder Scrolls III: MorrowindÂ® Game of the Year Edition",9571
65980,"Sid Meier's CivilizationÂ®: Beyond Earthâ„¢",9555
